bsh;tr;ti;det;quote;ill;tam;synt;matrix;other evids;m_tam;sp;pron
Аjəu aɣaj, tor äle, tor, ana (majðarəŋ)Тölkönöŋ majðarə bötönläj aɣəp böttö, tip ujata ikän;Brother Bear wake up, wake up, all the butter leaked from the Fox;tip; tip PC.PST ;Аjəu aɣaj, tor äle, tor, ana (majðarəŋ)Тölkönöŋ majðarə bötönläj aɣəp bött;strong;IMP;RQM;think;yes;PC.PST;ZF;IMP
bəl qaððarðə nisek totorɣa ikän tip xäjlä qora bašlaɣan;she began to think of how to grab these geese;tip; tip PC.PST ;bəl qaððarðə nisek totorɣa ikän;medium;PC.PST;RQM;think;yes;PC.PST;;
häm bəl sülmäkte xäðer inähe bulmaɣas inde alərɣa miŋä vaqət etkänder tip ujlaɣan da qəðəqaj sülmäkte alɣan ti;"And she thought: ""My mother is not here anymore, so I can take this pot"" – and she took the pot.";tip; tip PC.PST ; inähe bulmaɣas inde alərɣa miŋä vaqət etkänder;low;PC.PST;RQM;think;yes;non-verbal;ZF;1SG
hiðmähendär ä min hine šul šešqolaqtarəndan höjräp kenä aləp kitermen miŋä aðəq bulərhən tip ujlaɣan ikän;"and I will catch you by your ears and eat you"" – that is what she was thinking.";tip;tip PC.PST ikän;hiðmähendär ä min hine šul šešqolaqtarəndan höjräp kenä aləp kitermen miŋä aðəq bulərhə;strong;POT;RQM;think;yes;PC.PST;ZF;1SG/2SG
kejenmägän dä šaršauɣa töröngän atlə la tügel ul käzä täkähenä atlanɣan häm büläge qajða ikän tip ujlap ta ölgörmäj;She was not dressed, she was wrapped up in curtains, she was not on a horse, she was on a donkey, he did not have time to think where is a gift.;tip;tip V (thought);häm büläge qajða ikän;low;PC.PST;RQM;think;no;PRS;;
(babaj) babajðə aləp kilälär harajɣa babaj bik nəq qurqa nindäj zəjan ešlänem ikän tip ujlaj;They led the old man to the palace, the old man is very afraid and he thinks what have I done to the tsar.;tip;tip V (thought);nindäj zəjan ešlänem ikän;strong;PC.PST;RQM;think;no;PRS;;
küðätep torɣan da bəlarðə nisek itep xäjläläp ašajəm ikän tip ujlaɣan;She watched and thought how can I trick and eat them.;tip; tip PC.PST ;bəlarðə nisek itep xäjläläp ašajəm ikän;medium;PC.PST;lmRQM;think;yes;PC.PST;;
batša bik qänäɣät qalɣan bənə qajðan belde ikän tip ujɣa töšhä lä horamaɣan;The tsar was satisfied, even though he wondered how he knew, he did not ask.;tip; tip PC.PST ;qajðan belde ikän;medium;PC.PST;lmRQM;think;yes;PC.PST;;
xäðer Ҡujan ujlap jata ikän, - bəl Аjəu menä almaj öj bašəna bəl moɣajən Тölkö apajðəŋ ešeler, min bögön nisek bulha la joqlamaθqa tərəšajəm äle, tip ujlaj ikän;and the Hare lies and thinks, Brother Bear cannot climb, for sure this is Sister Fox, I will try not to fall asleep;tip;tip V ikän; bəl Аjəu menä almaj öj bašəna bəl moɣajən Тölkö apajðəŋ ešeler, min bögön nisek bulha la joqlamaθqa tərəšajəm äle;medium;PRS;lmRQM;think;yes;PC.PST;ZF;1SG
šunan huŋ qatənə ujlanɣan ujlanɣan da bəl nämä buldə inde  uq nisek äjtmäj tüðäjem batšaɣa barəp äjtäjem äle min anə tip;"no, how can I not to tell (this)? I will go to a rich man"" – she said.";tip;tip (frame);uq nisek äjtmäj tüðäjem batšaɣa barəp äjtäjem äle min anə;medium;PRS;MRQ;think;yes;PC.PST;;
šunan inde ul ujla-ɣan inde Äbjälil ulaj tip kütär-ep jörö-t-ä al-maθ ul at-tə tip ;Потом он думал, что Абзелил, мол, не сможет так поднять и носить этого коня.;tip;tip (frame);Äbjälil ulaj tip kütär-ep jörö-t-ä al-maθ ul at-tə;low;PRS;MRQ;think;yes;PC.PST;;
bənə qalaj itep jazalarɣa, nisek itep bašən qərqərɣa ikän tip;how to punish him, how to cut his head off;tip;tip (frame)(thought);bənə qalaj itep jazalarɣa, nisek itep bašən qərqərɣa ikän;low;PC.PST;RQ;think;yes;PRS;;
-ulaj bulɣas, tip äjtkän Аjəu,-;So, says the Bear, -;tip; tip PC.PST ;-ulaj bulɣas;low;non-verbal;RQM;tell;yes;PC.PST;;
Мineŋ uləmdəŋ qolaqtarə məna minekenä oqšap oðon, šeš qolaq, šešeberäk tora, tip äjtä ikän;My son has ears like mine, long, lop-eared – he said.;tip;tip V ikän;Мineŋ uləmdəŋ qolaqtarə məna minekenä oqšap oðon, šeš qolaq, šešeberäk tora;low;PRS;RQM;tell;yes;PC.PST;;
xäðer qolon attəqəmə ällä arbanəqəmə ikän belmäjbeð šunəŋ ösön talašabəð tip äjtä ikän;now we don't know to whom belongs the foal: to the horse or to the cart, that is why we are arguing – they said;tip;tip V ikän;xäðer qolon attəqəmə ällä arbanəqəmə ikän belmäjbeð šunəŋ ösön talašabəð;medium;PRS;RQM;tell;yes;PC.PST;;
ulaj bulɣas hin uləŋa Jügerek tip isem quš-tip äjtkän ti;Alright, call him Runner then – he said;tip;tip PC.PST ti;ulaj bulɣas hin uləŋa Jügerek tip isem quš-;strong;IMP;RQM;tell;yes;PC.PST;ZF;IMP
xäðer hin kisäge matur äjberðäreŋde kej häm uram bujəna səq irtänsäk matur itep kejen dä jəuən da tip äjtkän ti;"Put on your beautiful clothes from yesterday and go to the street, dress up, clean yourself"" – said (the mother).";tip;tip PC.PST ti;hin kisäge matur äjberðäreŋde kej häm uram bujəna səq irtänsäk matur itep kejen dä jəuən da;strong;IMP;RQM;tell;yes;PC.PST;;
qəðəqaj asma tip äjtkän ti;Daughter, don't open this pot, you can use it only after my death – she said. In the meantime, they just left it.;tip;tip PC.PST ikän ti;qəðəqaj asma;strong;IMP;RQM;tell;yes;PC.PST;ZF;IMP
bəna bögön ut jaɣabəð ut jaɣabəð ða, šul ut ergähendä ultərabəð, kemebeððän maj səɣa, šul majðə ašaɣan bula, tip äjtä ti; today we will light a fire and we will all sit near the fire, from whom the butter comes out, so it is (s)he who ate it.;tip;tip V ti;bəna bögön ut jaɣabəð ut jaɣabəð ða, šul ut ergähendä ultərabəð, kemebeððän maj səɣa, šul majðə ašaɣan bula,;medium;PRS;RQM;tell;yes;PC.PST;ZF;1PL
ulaj bulɣas hin uləŋa Шešqolaq tip isem quš tip äjtä tej;So, call him lop-eared then – she said.;tip;tip V ti;ulaj bulɣas hin uləŋa Шešqolaq tip isem quš;strong;IMP;RQM;tell;yes;PRS;;
xäðer ujanhalar taɣə la -məna Аjəu ašaɣan, tip äjtä ti Тölkö;"when he woke up, Fox again ""the Bear ate it""";tip;tip V ti;məna Аjəu ašaɣan;medium;PC.PST;RQM;tell;yes;PRS;;
šunan nisek-ter küp keše šulajt-əp äjt-ep šul Gäjnetdin kit-ä al-ma-j ošo ike donja ara-hə-nda tor-op qal-ɣan tip äjt-ä-lär inde ;И вот как... каким-то образом... многие люди так говорят, что этот Гайнетдин не может уйти, между этих двух миров остался, говорят.;tip;tip V ti;šunan nisek-ter küp keše šulajt-əp äjt-ep šul Gäjnetdin kit-ä al-ma-j ošo ike donja ara-hə-nda tor-op qal-ɣan;low;PC.PST;RQM;tell;yes;PRS;;
ajaqtarə uləmdəŋ eteð šäp bejep kenä toralar jügerep toralar tip äjtä tej;My son's feet are solid, quick, they dance and run – he said.;tip;tip V ti;ajaqtarə uləmdəŋ eteð šäp bejep kenä toralar jügerep torala;low;PRS;RQM;tell;yes;PRS;;
